location_name,latitude,longitude,reading_count,avg_pm10,max_pm10,avg_pm25,max_pm25,avg_temp,avg_humidity
,45.32064366,8.42689572,3901,26.899102794155322,236.4,24.250166623942615,200.0,13.174883363240188,68.98825429377085
,45.33015906,8.40441135,7241,25.388882751001223,169.6,22.91838143902776,153.4,12.871400359066406,71.09068913133548
,45.30093311,8.42467688,8558,24.430626314559476,260.8,21.561357793877065,232.5,13.141864921710676,69.9619128301005
,45.32411937,8.39305626,4361,24.363265306122454,297.0,21.111167163494613,221.1,12.61601926163723,68.12298326072
,45.33296609,8.40873518,3353,23.732001192961512,164.4,21.102177154786776,142.4,11.624524306591116,71.86743513271692
,45.33844024,8.40495765,9104,23.38662126537787,198.9,20.60920474516693,154.4,11.7652361599297,71.04784710017576
,45.32844622,8.4114878,9484,22.5728700970055,163.0,20.642745676929596,147.3,12.169882960776052,69.6579628848586
,45.3253385,8.4353487,18918,22.399978856115887,284.1,20.357072629242012,258.9,12.99856803044712,69.25377471191469
,45.32388844,8.40508926,11822,21.852546100490663,207.3,19.53380138724414,191.8,10.916531043816597,69.79103620368807
,45.33461449,8.4208366,9105,20.001098297638666,302.5,18.115958264689738,288.3,8.522671059857226,55.86988467874792
,45.31937185,8.41352259,13406,19.602648068029254,186.4,17.702618230643026,175.3,14.135520662389984,67.6433820677308
,45.31938462,8.43376406,6397,19.594841331874303,208.9,17.47422229169923,162.6,11.93360637798966,73.60178677505085
,45.32530654,8.41412061,14170,19.571848976711376,175.2,17.769421312632332,161.7,12.470513055751587,63.75594142554707
,45.32846085,8.41569782,14015,19.363745986443053,1523.1,17.148305387085273,1032.0,12.382563681769517,69.22720299678903
,,,14338,18.449218858976124,210.8,16.31164737062351,192.5,9.816097782117433,77.50936881015458
,45.32498894,8.43203554,7247,17.969518421415763,185.1,15.926383331033524,162.9,14.272278184076178,68.22692010487097
,45.32367715,8.41187181,10078,16.591952768406433,141.3,15.194522722762443,128.8,14.141629291526078,66.38714427465762
,45.33275483,8.42794773,10831,16.26635583048656,174.9,14.227522851075623,136.3,15.977246791616688,58.7358729572524
,45.34165406,8.40136917,9605,11.20113482561164,133.4,9.743269130661083,120.5,12.657524206142652,70.30479333680378
,45.33475441,8.39185263,11253,6.930507420243504,191.1,6.226001955034224,127.5,12.107836132586856,71.6756784857371
,45.31455958,8.42439946,11191,3.6878920561165343,121.9,3.2645697435439223,105.1,11.649356625860035,68.04800107229019
,45.33235732,8.41084228,8451,2.5416992071944144,58.5,2.376050171577328,54.9,11.444773399597699,72.01944740267412
Nome Posizione,45.3055826,8.44469325,4302,0.09900046490004648,364.4,0.06892143189214318,241.8,12.163616922361697,77.03518596001848
